id,name,ingredients,allergensraw,link,allergensmapped
34,Real Mayonnaise,"rapeseed oil, water, , egg mix pasteurised free range egg , pasteurised free range salted egg yolk egg yolk, salt, spirit vinegar, sugar, salt, concentrated lemon juice, stabiliser xanthan gum, antioxidant calcium disodium edta, mustard oil flavouring, colour paprika extract",eggs,https://world.openfoodfacts.org/product/4056489519706,egg
35,6 Free Range Eggs,free range eggs,eggs,https://world.openfoodfacts.org/product/5018374888341,
36,Medium Egg Noodles imp,"wheat flour wheat flour with calcium carbonate, iron, niacin, thiamin, water, pasteurised free range whole egg , salt, paprika, turmeric, firming agents potassium carbonate, sodium carbonate, acidity regulator citric acid","eggs, gluten",https://world.openfoodfacts.org/product/5010338103767,
37,Medium egg Noodles,"wheat flour, water, dried egg yolk , salt, acidity regulator potassium carbonate","eggs, gluten",https://world.openfoodfacts.org/product/00322768,
38,Mini Eggs,"sugar, milk, cocoa butter, cocoa mass, skimmed milk powder, whey permeate powder from milk, vegetable fats palm, shea, milk fat, modified starches maize, tapioca, emulsifiers e, e, flavourings, maltodextrin, colours anthocyanins, beetroot red, paprika extract, carotenes",milk,https://world.openfoodfacts.org/product/7622210882974,
39,heinz mayo,"rapeseed oil , water, pasteurized free range egg yolk , spirit vinegar, sugar, starch, salt, mustard seeds, spices, antioxidant calcium disodium edta","eggs, mustard",https://world.openfoodfacts.org/product/5000157076397,
40,Misura Privolat,"wheat flour  sugar  sunflower oil  dark chocolate chips  cocoa mass, sugar, emulsifier soy lecithin, natural flavoring  honey  raising agents ammonium hydrogen carbonate, sodium hydrogen carbonate, disodium diphosphate  emulsifier soy lecithin  salt  flavorings,","gluten, milk, peanuts, soybeans",https://world.openfoodfacts.org/product/8002590043391,
41,Crunchy Peanut Butter,"roasted peanuts , sustainable palm oil, sea salt",peanuts,https://world.openfoodfacts.org/product/5013665108801,
42,Crunchy Peanut Butter,roasted peanuts ,peanuts,https://world.openfoodfacts.org/product/5014213711290,
43,Crunchy Peanut Butter,"peanuts , sea salt",peanuts,https://world.openfoodfacts.org/product/5060367181311,
44,Smooth Peanut butter,"roasted peanuts , sustainable palm oil, sea salt",peanuts,https://world.openfoodfacts.org/product/5013665109389,
45,Smooth Peanut Butter,roasted peanuts ,peanuts,https://world.openfoodfacts.org/product/5014213711306,
46,Crunchy peanut butter,"peanuts , sea salt",peanuts,https://world.openfoodfacts.org/product/5060367180758,
47,Crunchy Organic Peanut Butter,"roasted organic peanuts , organic sustainable palm oil, sea salt",peanuts,https://world.openfoodfacts.org/product/5013665108320,
48,Smooth Organic Peanut Butter,"roasted organic peanuts , organic sustainable palm oil, sea salt",peanuts,https://world.openfoodfacts.org/product/5013665108344,
49,Peanut Butter Oat Bars,"gluten free oats , rice syrup, peanuts , coconut oil, coconut sugar, date syrup, peanut butter , rapeseed oil, salt",peanuts,https://world.openfoodfacts.org/product/5060482840766,
50,Crunchy Peanut Butter,"roasted peanuts , sustainable palm oil, sea salt",peanuts,https://world.openfoodfacts.org/product/5013665113133,
51,Protein Peanut Butter Bars,"dates , peanuts , peanut butter , peanut flour , chicory fibre , sea salt, natural flavouring",peanuts,https://world.openfoodfacts.org/product/5060088700099,
52,Barre cereales Proteines peanut chocolat,"roasted peanuts , oligofructose, soy protein isolate, chocolate chunks  sugar, cocoa mass, cocoa butter, emulsifier soy lecithin, vegetable oils and fats palm, rapeseed, sunflower in varying proportions, sugar, milk protein, fructose, glucose syrup, peanut butter , lowfat cocoa powder, humectant glycerol, tapioca starch, emulsifiers lecithins contains soy, table salt, natural flavours contains milk, maltodextrin, antioxidant extract rich in tocopherols,","milk, peanuts, soybeans",https://world.openfoodfacts.org/product/8410076901026,
53,Peanut Butter," roasted peanuts , sunflower oil, fully hardened palm fat, table salt,",peanuts,https://world.openfoodfacts.org/product/20474478,
54,Original Salted Peanuts,"peanuts, sunflower oil, salt",peanuts,https://world.openfoodfacts.org/product/5000237127261,
55,Crunchy Peanut Butter,roasted peanuts whole skin on ,peanuts,https://world.openfoodfacts.org/product/5014213001049,
56,Peanut Delight,"dates , peanuts , sea salt, natural flavouring",peanuts,https://world.openfoodfacts.org/product/5060088705230,peanut
57,Peanut butter smooth sante,"roasted peanuts , sugar, sunflower oil, fully hydrogenated rapeseed oil, rapeseed oil, salt",peanuts,https://world.openfoodfacts.org/product/5900617012197,peanut
58,Peanut Butter,"roasted peanuts , sustainable palm oil, sea salt",peanuts,https://world.openfoodfacts.org/product/5013665113157,peanut
59,Peanuts roasted unsalted,"roasted peanuts, ingredients peanut kernels, sunflower oil, may contain nuts vestyglos,",peanuts,https://world.openfoodfacts.org/product/20615420,peanut
60,","," peanut kernels, palm oil, , peanut oil, cane sugar, table salt",peanuts,https://world.openfoodfacts.org/product/4056489424925,peanut
61,Mandeln,shelled almonds,nuts,https://world.openfoodfacts.org/product/20724696,tree nut
62,Notenmix Melange de Noix ongebrand - non grille," walnusskerne,  haselnusskerne,  cashewkerne,  blanchierte mandeln",nuts,https://world.openfoodfacts.org/product/20047238,
63,Cruesli - Mixed Nuts,"whole oats , whole wheat , glucose syrup, sunflower oil, sugar, toasted almonds , , hazelnuts , oligofructose, pecans , , wheat flour, rice flour, brazil nuts , honey, natural flavours, antioxidant tocopherol, may contain traces of milk, soy and sesame","gluten, nuts",https://world.openfoodfacts.org/product/3168930010265,
64,Fruit Nut Mix," walnuts,  whole almonds,  sultanas sultanas, sunflower oil,  dried sweetened cranberries cranberries, sugar, sunflower oil","nuts, sulphur dioxide and sulphites",https://world.openfoodfacts.org/product/20815394,
65,Brazil Nuts,whole brazil nuts,nuts,https://world.openfoodfacts.org/product/20202392,
66,simply nutty muesli,"wholegrain oat flakes, chopped dates, barley flakes, wholegrain wheat flakes, chopped roasted hazelnuts, whole almonds, chopped brazil nuts, sunflower seeds","gluten, nuts",https://world.openfoodfacts.org/product/5018357012497,
67,Protein Cocoa Hazelnut Bars,"dates , peanuts , chicory fibre , peanut flour , hazelnuts , fatreduced cocoa powder ","cacahuetes, noisettes, nuts, peanuts",https://world.openfoodfacts.org/product/5060088700112,
68,Be Nuts Pate a tartiner Cacahuete,"roasted peanuts , sugar, cocoa butter, sunflower oil, salt, vanilla extract, emulsifier sunflower lecithin, may contain nuts and sesame seeds,",peanuts,https://world.openfoodfacts.org/product/3608580124108,
69,Low Sugar Nuts Seeds Granola imp,"wholegrain oat flakes , nuts  cashew nut pieces, hazelnut pieces, walnut pieces, almond pieces, rapeseed oil, seeds  sunflower, pumpkin, desiccated coconut, fructose, black treacle toasted wholegrain oat, nut and seed granola",nuts,https://world.openfoodfacts.org/product/5060043224561,
70,Cocoa Orange Fruit Nut Bars,"dates , cashews , raisins , cocoa , orange oil, natural flavouring",nuts,https://world.openfoodfacts.org/product/5060088701478,
71,"Sweet Salty Nut chocolat noir et melange de noix, 5 barres de 30 g","roasted peanuts , whole oats , sugar, chicory root extract, glucose syrup, wheat flour, vegetable fat palm, shea, maltodextrin, cocoa paste, almond pieces , fructose, lean cocoa powder, rice flour, sunflower oil, lactose milk, peanut butter, humectant glycerol, salt, emulsifiers sunflower and soy lecithin, dextrose, natural flavors, wheat germ, cocoa butter, antioxidant, rich tocopherol extract, honey,","gluten, milk, nuts, peanuts, soybeans",https://world.openfoodfacts.org/product/8410076610621,
72,Blueberry Muffin raw fruit nut bar,"dates , cashews , raisins , almonds , blueberries , natural flavouring",nuts,https://world.openfoodfacts.org/product/5060088705940,
73,Muesli Croustillant Noix de pecan noix du Bresil,"whole grain oats , glucose syrup, sugar, oligofructose, wheat petals  wheat flour and bran, sugar, sugar syrup, barley malt extract, salt, barley flakes  barley, sugar, salt, barley malt extract, emulsifier mono  and diglycerides of fatty acids, molasses, pumpkin seed , brazil nuts , pecans , sunflower oil, flavourings, antioxidant tocopherol, may contain traces of milk,","gluten, nuts",https://world.openfoodfacts.org/product/3168930009795,
74,NAKD PROTEIN - Cacao noisette - 45g (16x1p),"dates , peanuts , chicory fibre , peanut flour , hazelnuts , fatreduced cocoa powder , natural flavourings","nuts, peanuts",https://world.openfoodfacts.org/product/5060088700105,
75,Cocoa Orange,"dates , cashews , raisins , cocoa , natural flavouring",nuts,https://world.openfoodfacts.org/product/5060088701447,
76,Haselnusskerne gerostet,roasted hazelnuts,nuts,https://world.openfoodfacts.org/product/4056489033042,
77,Premium Fruit Nut Muesli," wholegrain oat flakes,  barley flakes,  raisins raisins, sunflower oil,  sultanas sultanas, sunflower oil,  wholegrain toasted and malted wheat flakes wheat, barley malt extract,  sweetened dried pineapple pineapple, sugar, acidity regulator citric acid, preservative sulphur dioxide,  dried banana chips banana, coconut oil, sugar, flavouring,  coconut chips,  chopped dates dates, rice flour,  pumpkin seeds,  sweetened dried papaya papaya, sugar, acidity regulator citric acid, preservative sulphur dioxide,  roasted whole hazelnuts,  whole almonds,  chopped pecan nuts allergy advice for allergens including gluten, see","banana, gluten, nuts, pumpkin seeds, sulphur dioxide and sulphites, sunflower seeds",https://world.openfoodfacts.org/product/20060831,
78,Nutella B-ready fergulf,"hazelnut spread with cocoa , sugar, palm oil, hazelnuts , skimmed milk powder ,, fatreduced cocoa ,, emulsifier lecithin  soya , vanillin, wheat flour , bakers yeast, powdered barley s malt extract, salt, skimmed milk powder, emulsifier lecithin  soya , wheat proteins, whey proteins  milk , water,","gluten, milk, nuts, soybeans",https://world.openfoodfacts.org/product/8000500227848,
79,Dark Chocolate Nuts Sea Salt Bars,"almonds, peanuts, dark chocolate coating sugar, cocoa mass, cocoa butter, emulsifier soya lecithin, natural flavouring, chicory root fibre, honey, glucose syrup, rice crisps rice flour, cocoa mass, sea salt, emulsifier soya lecithin may contain other nuts, milk","nuts, peanuts, soybeans",https://world.openfoodfacts.org/product/5000159535267,
80,Organic Almond milk,"spring water, organic almonds , sea salt",nuts,https://world.openfoodfacts.org/product/5060362071594,
81,Family Pack,"wholegrain wheat , malted barley extract, sugar, salt, niacin, iron, riboflavin b, thiamin b, folic acid",gluten,https://world.openfoodfacts.org/product/5010029000801,
82,Wheat Bisks,"whole wheat , barley malt extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid,",gluten,https://world.openfoodfacts.org/product/4088600247519,wheat
83,SPAGHETTI N 5,durum wheat semolina pasta may contain traces of soy and mustard,gluten,https://world.openfoodfacts.org/product/8076800195057,wheat
84,Digestive Biscuits,"flour  wheat flour, calcium, iron, niacin, thiamine, palm oil, whole wheat flour , sugar, baking powders sodium carbonates, malic acid, ammonium carbonates, inverted sugar syrup, salt may also contain milk","gluten, milk",https://world.openfoodfacts.org/product/5000168198491,"milk, wheat"
85,Organic Piadina 4 Wholeblend Flatbreads with Extra Virgin Olive Oil,"wholemeal wheat flour , wheat flour, water, extra virgin olive oil , salt",gluten,https://world.openfoodfacts.org/product/5060198641251,
86,Bitesize shredded wheat,whole grain wheat ,gluten,https://world.openfoodfacts.org/product/7613287194374,
87,Wheat Biscuits,"wheat , malted barley extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid allergy advice",gluten,https://world.openfoodfacts.org/product/5000119117359,
88,Malt Wheats,"wholewheat flour, sugar, malted barley extract, partially inverted sugar syrup, salt, niacin, iron, pantothenic acid, thiamin, riboflavin, vitamin b, folic acid, vitamin b",gluten,https://world.openfoodfacts.org/product/5000436857112,
89,Blueberry Muffin Myrtilles,"dates , cashews , raisins , almonds , blueberries , natural flavouring",nuts,https://world.openfoodfacts.org/product/5060088706534,
90,5050 Medium Bread,"wheat flour  with calcium, iron, niacin b, thiamin b, wholemeal wheat flour , water, yeast, salt, vegetable oils rapeseed, sustainable palm, vinegar, sustainable soya flour, emulsifier ee, preservative calcium propionate, flour treatment agent ascorbic acid vitamin c","gluten, soybeans",https://world.openfoodfacts.org/product/5010092093441,
91,Chocapic Cereals,"whole wheat , chocolate powder  , cocoa powder, wheat flour , cornmeal, glucose syrup, , barley malt extract barley, malted barley, contains sunflower andor palm oil, , emulsifier , , natural flavours, iron, vitamins b, b, d, b, b, b and b, may contain milk and nuts",gluten,https://world.openfoodfacts.org/product/7613034626844,
92,original shredded wheat,whole grain wheat ,gluten,https://world.openfoodfacts.org/product/7613031473113,
93,Cheese Oatcakes,"wholegrain oats , cheese  milk, sustainable palm fruit oil, sea salt, raising agent sodium bicarbonate","gluten, milk",https://world.openfoodfacts.org/product/0061232201948,
94,Wholegrain Wheat Bixies," wholegrain wheat , barley malt extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid",gluten,https://world.openfoodfacts.org/product/20471613,
95,4 Greek Style Flatbreads,"wheat flour wheat flour, calcium carbonate, niacin, iron, thiamin, water, rapeseed oil, wheat gluten, wheat fibre, spirit vinegar, yeast, preservatives potassium sorbate, calcium propionate, raising agents disodium diphosphate, sodium hydrogen carbonate, calcium phosphate, salt, stabiliser sodium carboxymethyl cellulose, acidity regulator citric acid, wheat starch, wheat flour","gluten, milk",https://world.openfoodfacts.org/product/5012121004336,
96,All-Bran Original,"wheat bran , sugar, barley malt extract, salt, niacin, iron, vitamin b, riboflavin, thiamin, folic acid, vitamin d, vitamin b for allergens see ingredients highlighted in bold may contain gluten from other cereals",gluten,https://world.openfoodfacts.org/product/5000127142190,
97,Mission Deli White Wraps,"fortified wheat flour wheat flour, calcium carbonate, iron niacin b, thiamin b, water, wholemeal wheat flour, rapeseed oil, humectant glycerol, acidity regulator malic acid, sugar, emulsifiers mono  and diglycerides of fatty acids, raising agent sodium carbonates, salt, preservatives potassium sorbate, calcium propionate, flavouring",gluten,https://world.openfoodfacts.org/product/5036034406193,
98,Wholemeal Pittas,"wholemeal wheat flour, water, yeast, spirit vinegar salt, fortified wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, preservative calcium propionate, wheat starch",gluten,https://world.openfoodfacts.org/product/00234931,
99,Bran Flakes," shredded wholegrain wheat,  wheat bran, sugar, barley malt extract, salt, honey",gluten,https://world.openfoodfacts.org/product/20621483,
100,Tortillas 100% Integrales,"and wheat flour , water, sunflower oil high oleic acid , estabilizae e, emulsifier e, salt, corrector of acidity e, e, dextrose, preservatives e, e, gasificante esii, thickener e, agent flour treatment e,",gluten,https://world.openfoodfacts.org/product/8480000809421,
101,Tofoo Naked,"organic tofu water, organic soya beans , nigari",soybeans,https://world.openfoodfacts.org/product/5034467000216,
102,Sojasauce,"water, soybeans , wheat , salt,","gluten, soybeans",https://world.openfoodfacts.org/product/8715035110106,
103,Seeded Batch,"wheat flour with calcium, iron, niacin b and thiamin b, water, seed mix  sesame seed, brown linseed, sunflower seed, millet seed, poppy seed, yeast, malted barley flour, vegetable oils rapeseed and sustainable palm, sugar, salt, wheat gluten, soya flour, emulsifiers ee, e, e, preservative calcium propionate, flour treatment agent ascorbic acid vitamin c","gluten, sesame seeds, soybeans",https://world.openfoodfacts.org/product/5010044002552,
104,Organic oat drink,"water, oats , sea salt, organic ingredient","gluten, soybeans",https://world.openfoodfacts.org/product/7394376123337,
105,Premium Soy Sauce,"water, soybeans , salt, sugar, wheat flour","gluten, soybeans",https://world.openfoodfacts.org/product/0078895126396,
106,Plant soya pot plain,"water,  soya beans, modified maize starch, potato starch, sea salt, natural flavouring",soybeans,https://world.openfoodfacts.org/product/4056489466598,
107,Dark soy sauce,"water, soy sauce extract  , water, soybean , salt, wheat flour, sugar, salt, colour  plain caramel, acidity regulators  lactic acid, citric acid, preservative  potassium sorbate","gluten, soybeans",https://world.openfoodfacts.org/product/5000111044202,
108,Snack poppe TH,"soy flour , tapioca starch , dehydrated potato , sunflower oil, whey permeate powder milk, rice flour, potato starch ,, salt, tomato powder ,, sugar, spices, herbs of which , parsley , basil ground, natural flavouring, acidifier malic acid, colour paprika extract","milk, soybeans",https://world.openfoodfacts.org/product/3245550078681,
109,Oat Mlk,"water, oats , rapeseed oil, acidity regulator tricalcium phosphate, calcium carbonate, salt",gluten,https://world.openfoodfacts.org/product/5060406080223,
110,Soya Drink Unsweetened,"water, soya bean , tricalcium phosphate, natural flavouring, stabiliser gellan gum, potassium lodide, vitamin b, riboflavin, vitamin d",soybeans,https://world.openfoodfacts.org/product/5057753181369,
111,Premium dark soy sauce,"water, salt, colour plain caramel, sugar, defatted soybeans , wheat net  ml","gluten, soybeans",https://world.openfoodfacts.org/product/0078895126389,
112,Light Soy Sauce,"soy sauce extract , water, soybean, salt, wheat flour, water sugar salt, colcur plain caramel, acidity regulators citric acid, lactic acid, preservative potassium sorbate, flavour enhancears e, e","gluten, soybeans",https://world.openfoodfacts.org/product/5000111044226,
113,Soy Sauce,"water,  soybeans, wheat, salt","gluten, soybeans",https://world.openfoodfacts.org/product/20521493,
114,Bebida de Soja UHT,"water, peeled soybeans , salt,",soybeans,https://world.openfoodfacts.org/product/8480000293145,
115,Saveur Barbecue,"soya flour , tapioca starch, dehydrated potato , sunflower oil, potato starch , rice flour, lactose milk, sugar, onions, salt, natural flavouring milk, yeast extract, tomatoes, colour paprika extract, acid malic acid","celery, milk, soybeans",https://world.openfoodfacts.org/product/3245550078674,
116,"Le Gourmand Soja, Poivre et Persil","water, soy protein concentrate , breadcrumbs wheat flour, water, rapeseed oil, yeast, salt, paprika extract, wheat protein , dehydrated onions, vegetable oils rapeseed, sunflower in varying proportions, egg white powder , apple puree, acidity regulator buffered vinegar, flavourings wheat, corn starch, parsley , potato flakes, yeast extract, coriander, garlic powder, pea fibre and starch, barley malt extract, salt, spirit vinegar, black pepper , cumin, mace, may contain sesame, celery and mustard,","eggs, gluten, soybeans",https://world.openfoodfacts.org/product/7613035982055,
117,Nature Sans Sucres,"soy juice , calcium salts, natural flavouring, vitamin d, ferments including bifidus",soybeans,https://world.openfoodfacts.org/product/3273220081068,
118,Mince,"mycoprotein , rehydrated free range egg white, pea fibre, gluten free barley malt extract allergy advice","eggs, gluten",https://world.openfoodfacts.org/product/5019503002157,
119,Soy yoghurt Greek style,"soya juice  water, soya beans ,, thickener pectin, selected live cultures",soybeans,https://world.openfoodfacts.org/product/3273220182574,
120,Super Firm Tofu,"water, organic soya beans , firming agent nigari magnesium chloride",soybeans,https://world.openfoodfacts.org/product/00412896,
121,Cod Fish Fingers,"cod  fish, breadcrumb coating wheat flour, water, potato starch, salt, paprika, yeast, turmeric, rapeseed oil","fish, gluten",https://world.openfoodfacts.org/product/5000116111947,
122,Salade Compagnie - Antibes,"mixed salad topped with  rice,  raw vegetables,  egg,  tuna and  olive, accompanied by a vinaigrette sauce with  balsamic vinegar, a cookie with  chocolate chips and breadsticks, mixed salad  cooked rice  water, rice, salt, egg, salad , tomatoes , sweet corn, tuna, soybeans, olives, roasted peppers, lemon juice, vegetable oils rapeseed, sunflower, water, ferments, glucose syrup, salt, natural flavors, aromatic plants, balsamic dressing sauce  rapeseed oil, virgin olive oil, wine vinegar sulphites, grape must, salt, lemon biscuit  wheat flour, concentrated butter, egg, lemon zest and puree, rapeseed oil, sugar, wheat starch, baking powders e, sodium carbonates, natural flavors, salt, poppy seeds, breadsticks  wheat flour, water, virgin olive oil, rosemary, bakers yeast, salt, poppy seeds, durum wheat semolina, sugar,","eggs, fish, gluten, milk, mustard, soybeans, sulphur dioxide and sulphites",https://world.openfoodfacts.org/product/3242274002053,
123,10 Fish Fingers Omega 3,"alaska pollock fish , breadcrumb coating, rapeseed oil breadcrumb coating wheat flour, water, potato starch, salt, paprika, yeast, turmeric","fish, gluten",https://world.openfoodfacts.org/product/5000116111978,
124,Colin dAlaska MSC facon Fish Chips,"alaskan colin , wheat flour wheat, calcium carbonate, iron, niacin, thiamine, water, rapeseed oil, wheat starch, salt, rice flour, corn flour, mustard, natural flavors including mustard, dextrose, baking powders diphosphates, sodium bicarbonate, garlic powder, wheat gluten, paprika, spice extract","fish, gluten, mustard",https://world.openfoodfacts.org/product/3599741003380,
125,Breaded Omega 3 Fish Fingers,"alaska pollock theragra chalcogramma fish , wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, rapeseed oil, potato starch, wheat starch, salt, spices paprika, turmeric, yeast","fish, gluten",https://world.openfoodfacts.org/product/4088600253961,
